PropNum,Prop ID,Boro,AMPSDistrict,Prop Name,Site Name,Prop Location,Site Location,Acres,Category,Sub-Category,Rated,Reason Not Rated,ZipCode
B222,B222,B,2,Pierrepont Playground,Pierrepont Playground,"bet. Pierrepont Pl., Pierrepont St. and the BQE","bet. Pierrepont Pl., Pierrepont St. and the BQE",0.50300002,Small Park,Neighborhood Plgd,Yes,,11201
B221,B221,B,2,Steuben Playground,Steuben Playground,"Flushing Ave., Steuben St., Williamsburg Pl.","Flushing Ave., Steuben St., Williamsburg Pl.",1.171,Small Park,Neighborhood Plgd,Yes,,11205
B220,B220,B,2,Washington Hall Park,Washington Hall Park,Park Ave. bet. Washington Ave. and Hall St.,Park Ave. bet. Washington Ave. and Hall St.,0.90100002,Small Park,Neighborhood Plgd,Yes,,11205
B219,B219,B,16,Callahan-Kelly Playground,Callahan-Kelly Playground,"Fulton St., Truxton St., bet. Eastern Pkwy. and Van Sinderen Ave.","Fulton St., Truxton St., bet. Eastern Pkwy. and Van Sinderen Ave.",3.25300002,Small Park,Neighborhood Plgd,Yes,,11233
B218,B218,B,17,Paerdegat Park,Paerdegat Park,"Albany Ave., E. 40 St. bet. Farragut Rd. and Foster Ave.","Albany Ave., E. 40 St. bet. Farragut Rd. and Foster Ave.",3.55999994,Small Park,Neighborhood Plgd,Yes,,11203
B217,B217,B,3,Marcy Playground,Marcy Playground,Myrtle Ave. bet. Nostrand Ave. and Marcy Ave.,Myrtle Ave. bet. Nostrand Ave. and Marcy Ave.,3.20099998,Small Park,Neighborhood Plgd,Yes,,11206
B216,B216,B,3,Raymond Bush Playground,Raymond Bush Playground,Marcus Garvey Blvd. bet. Monore St. and Madison St.,Marcus Garvey Blvd. bet. Monore St. and Madison St.,1.79499996,Small Park,JOP,Yes,,11221
B215,B215,B,3,Decatur Playground,Decatur Playground,"Decatur St., Macdonough St. bet. Lewis Ave. and Marcus Garvey Blvd.","Decatur St., Macdonough St. bet. Lewis Ave. and Marcus Garvey Blvd.",1.5,Small Park,JOP,Yes,,11233
B214,B214-02,B,5,Linden Park,Linden Park,Vermont St. bet. Linden Blvd. and Stanley Ave.,"Vermont St, Linden Blvd, Gershwin JHS, Fence Betw Football Field & Courts",4.33400011,Small Park,Neighborhood Plgd,Yes,,11207
B214,B214-01,B,5,Linden Park,Linden Park,Vermont St. bet. Linden Blvd. and Stanley Ave.,"Vermont St, Stanley Ave, Gershwin JHS, Fence Betw Courts & Football Field",5.89799976,Small Park,JOP,Yes,,11207
B214,B214,B,5,Linden Park,Linden Park,Vermont St. bet. Linden Blvd. and Stanley Ave.,Vermont St. bet. Linden Blvd. and Stanley Ave.,9.32199955,Large Park,Large Park,No,Rated as two separate Small Parks,11207
B213,B213,B,15,Gravesend Triangle,Gravesend Triangle,"Gravesend Neck Rd., E. 2 St., Ave. V","Gravesend Neck Rd., E. 2 St., Ave. V",0.06,Small Park,Sitting Area/Triangle/Mall,Yes,,11223
B212,B212,B,14,Hot Spot Tot Lot,Hot Spot Tot Lot,Campus Rd. bet. E. 21 St. and Ocean Ave.,Campus Rd. bet. E. 21 St. and Ocean Ave.,0.322,Small Park,Neighborhood Plgd,Yes,,11210
B211,B211,B,15,Lady Moody Triangle,Lady Moody Triangle,"Village Rd. N., Ave. U bet. Van Sicklen St. and Lake St.","Village Rd. N., Ave. U bet. Van Sicklen St. and Lake St.",0.052,Small Park,Sitting Area/Triangle/Mall,Yes,,11223
B210W,B210W-03,B,10,John J Carty Park,John J Carty Park,Ft. Hamilton Pkwy. bet. 94 St. and 101 St.,"Ft Hamilton Pkwy, 94-95 Sts",5.88399982,Playground,,No,Rated under parent,11209
B210W,B210W,B,10,John J Carty Park,John J Carty Park,Ft. Hamilton Pkwy. bet. 94 St. and 101 St.,Ft. Hamilton Pkwy. bet. 94 St. and 101 St.,8.56499958,Large Park,Large Park,Yes,,11209
B210V,B210V,B,10,Park,Park,Dahlgreen Pl. bet. Exit 17 and Ft. Hill Pl.,Dahlgreen Pl. bet. Exit 17 and Ft. Hill Pl.,0.58600003,Other,EXWY,No,EXWY,11228
B210U,B210U,B,10,Park,Park,92 St. bet. Gowanus Exwy. and Ft. Hamilton Pkwy.,92 St. bet. Gowanus Exwy. and Ft. Hamilton Pkwy.,0.002,Other,EXWY,No,EXWY,11209
B210T,B210T,B,10,Park,Park,N/B Gowanus Exwy. bet. 85 St. and 86 St.,N/B Gowanus Exwy. bet. 85 St. and 86 St.,0.004,Other,EXWY,No,EXWY,11209
B210S,B210S,B,10,Park,Park,S/B Gowanus Exwy. bet. 85 St. and 86 St.,S/B Gowanus Exwy. bet. 85 St. and 86 St.,0.004,Other,EXWY,No,EXWY,11209
B210R,B210R,B,10,Park,Park,S/B Gowanus Exwy. bet. 84 St. and 85 St.,S/B Gowanus Exwy. bet. 84 St. and 85 St.,0.004,Other,EXWY,No,EXWY,11209
B210Q-BZ562,B210Q-BZ562,B,10,Coffey Square,Coffey Square,"Ft Hamilton Pkwy, 7th Ave, and 81st St","Ft Hamilton Pkwy, 7th Ave, and 81st St",0.104,Greenstreet,Type 1,No,"GS number has to change, BZ562 is a different active GS and this is not a sub-property.",11209
B210Q,B210Q,B,10,Park,Park,N/B Gowanus Exwy. bet. 81 St. and 82 St.,N/B Gowanus Exwy. bet. 81 St. and 82 St.,0.004,Greenstreet,Type 2,No,"Moses strip, incorrectly used to represent Coffey Square GS to the north. AB 1/2018.","11209, 11228"
B210P,B210P,B,10,Dan Ross Playground,Dan Ross Playground,7 Ave. bet. 81 St. and 82 St.,7 Ave. bet. 81 St. and 82 St.,0.25600001,Small Park,Neighborhood Plgd,Yes,,11209
B210O,B210O,B,10,Park,Park,N/B Gowanus Exwy. bet. 65 St. and 66 St.,N/B Gowanus Exwy. bet. 65 St. and 66 St.,0.006,Other,EXWY,No,EXWY,11220
B210N,B210N,B,7,Park,Park,4 Ave. bet. BQE and 64 St.,4 Ave. bet. BQE and 64 St.,0.002,Other,EXWY,No,EXWY,11220
B210M,B210M,B,10,Park,Park,S/B Gowanus Exwy. bet. 64 St. and 65 St.,S/B Gowanus Exwy. bet. 64 St. and 65 St.,0.008,Other,EXWY,No,EXWY,11220
B210L,B210L,B,7,64th Street Community Garden,64th Street Community Garden,N/B Gowanus Exwy. bet. 63 St. and 64 St.,N/B Gowanus Exwy. bet. 63 St. and 64 St.,0.009,Other,EXWY,No,EXWY,11220
B210K,B210K,B,7,Park,Park,3 Ave. bet. 59 St. and 60 St.,3 Ave. bet. 59 St. and 60 St.,0,,,No,,11220
B210J,B210J,B,7,Pena Herrera Playground,Pena Herrera Playground,3 Ave. bet. 47 St. and 46 St.,3 Ave. bet. 47 St. and 46 St.,0.736,Small Park,JOP,Yes,,11220
B210I,B210I,B,7,Gonzalo Plasencia Playground,Gonzalo Plasencia Playground,3 Ave. bet. 40 St. and 41 St.,3 Ave. bet. 40 St. and 41 St.,1.23599994,Small Park,JOP,Yes,,11232
B210H,B210H,B,6,Harold Ickes Playground,Harold Ickes Playground,Hamitlon Ave. ber. Van Brunt St. and Woodull St.,Hamitlon Ave. ber. Van Brunt St. and Woodull St.,1.81599998,Small Park,Neighborhood Plgd,Yes,,11231
B210G,B210G,B,7,Triangle Three Sixteen,Triangle Three Sixteen,3 Ave. bet. Hamilton Ave. and 16 St.,3 Ave. bet. Hamilton Ave. and 16 St.,0.28,Small Park,Sitting Area/Triangle/Mall,Yes,,11215
B210F,B210F,B,6,Admiral Triangle,Admiral Triangle,"Hamilton Ave., Nelson St. Clinton St.","Hamilton Ave., Nelson St. Clinton St.",0.433,Small Park,Neighborhood Plgd,Yes,,11231
B210E,B210E,B,7,Park,Park,Guanus Exwy. bet. Prospect Exwy. and 18 St.,Guanus Exwy. bet. Prospect Exwy. and 18 St.,0,,,No,,11232
B210D,B210D,B,7,Park,Park,"Hamilton Ave., bet. Prospect Exwy. and 18 St.","Hamilton Ave., bet. Prospect Exwy. and 18 St.",1.08000004,Small Park,Sitting Area/Triangle/Mall,No,Temporarily removed from list; being used to store eq for adj hwy const,"11215, 11232"
B210C,B210C,B,6,Cough Triangle,Cough Triangle,"Hamilton Ave., Court St. Garnet St.","Hamilton Ave., Court St. Garnet St.",0.032,Small Park,Sitting Area/Triangle/Mall,Yes,,11231
B210B,B210B,B,7,D'Emic Playground,D'Emic Playground,3 Ave. bet. 35 St. and 34 St.,3 Ave. bet. 35 St. and 34 St.,1.13,Small Park,Neighborhood Plgd,Yes,,11232
B210A,B210A,B,7,John Allen Payne Playground,John Allen Payne Playground,3 Ave. bet. 64 St. and 65 St.,3 Ave. bet. 64 St. and 65 St.,1.50999999,Small Park,Neighborhood Plgd,Yes,,11220
B206,B206,B,18,Sunners Playground,Sunners Playground,Avenue H bet. Kings Hwy. and E. 49 St.,Avenue H bet. Kings Hwy. and E. 49 St.,0.197,Small Park,Neighborhood Plgd,Yes,,11234
B205,B205,B,15,Corporal Wiltshire Square,Corporal Wiltshire Square,"Ave. P, Kings Hwy., Ocean Ave.","Ave. P, Kings Hwy., Ocean Ave.",0.051,Small Park,Sitting Area/Triangle/Mall,Yes,,11229
B202,B202,B,1,Lithuania Square,Lithuania Square,"Stagg St., Hewes St., Union Ave.","Stagg St., Hewes St., Union Ave.",0.02,Small Park,Sitting Area/Triangle/Mall,Yes,,11211
B200,B200,B,3,Elizabeth Stroud Playground,Elizabeth Stroud Playground,Stuyvesant Ave. and Fulton St.,Stuyvesant Ave. and Fulton St.,0.28999999,Small Park,Neighborhood Plgd,Yes,,11233
B198,B198,B,18,Kings Highway Malls,Kings Highway Malls,Kings Highway between 25 St. and 98 St.,Kings Highway between 25 St. and 98 St.,0,Small Park,Sitting Area/Triangle/Mall,No,Malls (not Parks property),"11203, 11210, 11212, 11229, 11234"
B197,B197,B,15,Mellett Playground,Mellett Playground,Avenue V bet. E. 13 St. and E. 14 St.,Avenue V bet. E. 13 St. and E. 14 St.,1.05599999,Small Park,Neighborhood Plgd,Yes,,11229
B196,B196,B,1,Pvt. Sonsire Triangle,Pvt. Sonsire Triangle,"Union Ave., N. 11 St. and Roebling St.","Union Ave., N. 11 St. and Roebling St.",0.036,Small Park,Sitting Area/Triangle/Mall,Yes,,11211
B194,B194,B,1,Harmony Triangle,Harmony Triangle,"Middleton St., Harrison Ave., Union Ave.","Middleton St., Harrison Ave., Union Ave.",0.1,Small Park,Sitting Area/Triangle/Mall,Yes,,11206
B193,B193,B,9,Hamilton Metz Field,Hamilton Metz Field,"Albany Ave., E. New York Ave., Lefferts Ave.","Albany Ave., E. New York Ave., Lefferts Ave.",2.11199999,Small Park,Neighborhood Plgd,Yes,,11203
B192A,B192A,B,10,Fort Hamilton Athletic Field,Fort Hamilton Athletic Field,83 St. to 85 St. bet. Colonial Rd. and Narrows Ave.,83 St. to 85 St. bet. Colonial Rd. and Narrows Ave.,6.01999998,Large Park,Large Park,Yes,,11209
